Epochs,Time,Train Loss
0,28.7658,1.4015364235509997
1,15.9984,1.0047319209122139
2,26.834,0.8801342533982318
3,27.4051,0.7801794996080191
4,27.4556,0.7092904686603857
5,26.8255,0.6820297293041063
6,26.8265,0.6454154295117959
7,27.139,0.6082666953620703
8,27.7281,0.5948890933524007
9,27.3762,0.5498200625829075
10,28.1352,0.5420071372519368
11,29.0087,0.5228744643213956
12,27.6921,0.5088373808109242
13,27.0861,0.4726421740715918
14,27.3192,0.47128460774927033
15,27.937,0.4735159618861001
16,28.5827,0.4572164578282315
17,27.8723,0.43998334224781266
18,26.9683,0.443209721342377
19,27.38,0.37024957249345986
20,27.4277,0.3495947372411256
21,27.5639,0.3283118820627746
22,27.0213,0.3308634634089211
23,27.4584,0.3190559221269644
24,27.0991,0.3144969213349016
25,26.8429,0.32648997535200225
26,27.3765,0.3053587530537144
27,27.7548,0.306985203622152
28,28.4837,0.31092412113819434
29,27.2014,0.30515729595461616
30,27.4218,0.3090415428109143
31,27.8857,0.29527145907606767
32,27.41,0.3064283698230334
33,27.0046,0.3019620910205919
34,27.3426,0.29548046972764574
35,26.955,0.29555345156594465
36,26.8995,0.3024100137307592
37,27.1641,0.2821345385568945
38,27.9386,0.2961920570258213
39,27.7161,0.26853539835175744
40,27.0856,0.28894266656235507
41,28.419,0.26788461698300164
42,28.221,0.2816891249107278
43,27.2097,0.2809042562528149
44,27.5228,0.28709014812889305
45,26.9776,0.286262742081738
46,27.1562,0.29135344910394884
47,28.6984,0.2756692705594975
48,27.2797,0.2834056118584197
49,28.3826,0.27824710524114576
